lemma	pos	ipa	zh	meaning_en
diuretic	noun	/ˌdaɪjəˈretɪk/	利尿药	a drug that increases urine output
brain	noun	/breɪn/	脑	the organ of the central nervous system in the skull
cerebrum	noun	/səˈriːbrəm/	大脑	the large paired hemispheres of the brain
cerebellum	noun	/ˌserəˈbeləm/	小脑	the hindbrain structure that coordinates movement
brainstem	noun	/ˈbreɪnstem/	脑干	the midbrain, pons, and medulla connecting brain to cord
meninges	noun	/məˈnɪndʒiːz/	脑脊膜	the three membranes covering brain and spinal cord
autonomic	adjective	/ˌɔːtəˈnɑːmɪk/	自主的	relating to involuntary visceral control
sympathetic	adjective	/ˌsɪmpəˈθetɪk/	交感的	relating to the fight-or-flight autonomic division
parasympathetic	adjective	/ˌpærəˌsɪmpəˈθetɪk/	副交感的	relating to the rest-and-digest autonomic division
reflex	noun	/ˈriːfleks/	反射	an involuntary response to a stimulus
seizure	noun	/ˈsiːʒər/	癫痫发作	an episode of abnormal excessive neuronal firing
epilepsy	noun	/ˈepɪlepsi/	癫痫	a tendency to recurrent unprovoked seizures
stroke	noun	/stroʊk/	卒中	sudden brain injury from ischemia or hemorrhage
coma	noun	/ˈkoʊmə/	昏迷	unrousable unresponsiveness
headache	noun	/ˈhedeɪk/	头痛	pain in the head
dizziness	noun	/ˈdɪzinəs/	头晕	a nonspecific sense of lightheadedness or unsteadiness
vertigo	noun	/ˈvɜːrtɪɡoʊ/	眩晕	a false sense of spinning or motion
tremor	noun	/ˈtremər/	震颤	rhythmic involuntary oscillation of a body part
spasm	noun	/spæzəm/	痉挛	a sudden involuntary muscle contraction
meningitis	noun	/ˌmenɪnˈdʒaɪtɪs/	脑膜炎	inflammation of the meninges
encephalitis	noun	/enˌsefəˈlaɪtɪs/	脑炎	inflammation of the brain
myelitis	noun	/maɪəˈlaɪtɪs/	脊髓炎	inflammation of the spinal cord
neuritis	noun	/nʊˈraɪtɪs/	神经炎	inflammation of a nerve
migraine	noun	/ˈmaɪɡreɪn/	偏头痛	recurrent throbbing headache often with aura or nausea
dementia	noun	/dɪˈmenʃə/	痴呆	acquired decline in cognition that impairs daily function
delirium	noun	/dɪˈlɪriəm/	谵妄	acute fluctuating disturbance of attention and awareness
aphasia	noun	/əˈfeɪʒə/	失语	impaired language from a brain lesion
hemiplegia	noun	/ˌhemɪˈpliːdʒə/	偏瘫	paralysis of one side of the body
hypothalamus	noun	/ˌhaɪpoʊˈθæləməs/	下丘脑	the basal brain region that controls pituitary and autonomic function
parathyroid	noun	/ˌpærəˈθaɪrɔɪd/	甲状旁腺	the small glands that raise blood calcium via PTH
thymus	noun	/ˈθaɪməs/	胸腺	the mediastinal organ where T cells mature
diabetes	noun	/ˌdaɪəˈbiːtiːz/	糖尿病	a group of disorders of high blood glucose
goiter	noun	/ˈɡɔɪtər/	甲状腺肿	enlargement of the thyroid gland
hyperthyroidism	noun	/ˌhaɪpərˈθaɪrɔɪdɪzəm/	甲状腺功能亢进	excess thyroid hormone action
hypothyroidism	noun	/ˌhaɪpoʊˈθaɪrɔɪdɪzəm/	甲状腺功能减退	deficient thyroid hormone action
cortisol	noun	/ˈkɔːrtɪsɔːl/	皮质醇	the main glucocorticoid of the adrenal cortex
aldosterone	noun	/ælˈdɑːstəroʊn/	醛固酮	the mineralocorticoid that retains sodium
thyroxine	noun	/θaɪˈrɑːksiːn/	甲状腺素	T4, the main circulating thyroid hormone
ketoacidosis	noun	/ˌkiːtoʊˌæsɪˈdoʊsɪs/	酮症酸中毒	high ketones with metabolic acidosis, usually in type 1 diabetes
thyroiditis	noun	/ˌθaɪrɔɪˈdaɪtɪs/	甲状腺炎	inflammation of the thyroid
epinephrine	noun	/ˌepəˈnefrɪn/	肾上腺素	the American pharmacologic name for adrenaline
calcium	noun	/ˈkælsiəm/	钙	the mineral of bone, muscle contraction, and clotting
bicarbonate	noun	/baɪˈkɑːrbənət/	碳酸氢盐	the main extracellular buffer of acid-base balance
acidosis	noun	/ˌæsɪˈdoʊsɪs/	酸中毒	a process that lowers blood pH or bicarbonate
alkalosis	noun	/ˌælkəˈloʊsɪs/	碱中毒	a process that raises blood pH or bicarbonate
skeleton	noun	/ˈskelɪtn/	骨骼	the bony framework of the body
skull	noun	/skʌl/	颅骨	the bony case of the brain
vertebra	noun	/ˈvɜːrtɪbrə/	椎骨	one bone of the spinal column
rib	noun	/rɪb/	肋	a curved bone of the thoracic cage
sternum	noun	/ˈstɜːrnəm/	胸骨	the breastbone in the midline of the chest
femur	noun	/ˈfiːmər/	股骨	the thigh bone
fracture	noun	/ˈfræktʃər/	骨折	a break in a bone
dislocation	noun	/ˌdɪsloʊˈkeɪʃn/	脱位	complete displacement of a bone from its joint
osteoarthritis	noun	/ˌɑːstioʊɑːrˈθraɪtɪs/	骨关节炎	degenerative joint disease of cartilage wear
osteomyelitis	noun	/ˌɑːstioʊˌmaɪəˈlaɪtɪs/	骨髓炎	infection of bone
atrophy	noun	/ˈætrəfi/	萎缩	decrease in size of a cell, tissue, or organ
hypertrophy	noun	/haɪˈpɜːrtrəfi/	肥大	increase in cell size leading to organ enlargement
hyperplasia	noun	/ˌhaɪpərˈpleɪʒə/	增生	increase in cell number leading to tissue enlargement
gout	noun	/ɡaʊt/	痛风	crystal arthritis from urate deposition
skin	noun	/skɪn/	皮肤	the outer covering of the body
epidermis	noun	/ˌepɪˈdɜːrmɪs/	表皮	the outer epithelial layer of skin
dermis	noun	/ˈdɜːrmɪs/	真皮	the connective-tissue layer beneath the epidermis
rash	noun	/ræʃ/	皮疹	a visible eruption on the skin
pruritus	noun	/prʊˈraɪtəs/	瘙痒	itching
erythema	noun	/ˌerɪˈθiːmə/	红斑	redness of the skin from vasodilation
pallor	noun	/ˈpælər/	苍白	paleness of skin or mucosa
petechia	noun	/pəˈtiːkiə/	瘀点	a pinpoint hemorrhage in the skin
purpura	noun	/ˈpɜːrpjərə/	紫癜	purple skin spots from bleeding under the skin
gangrene	noun	/ˈɡæŋɡriːn/	坏疽	death of tissue from ischemia or infection, often with putrefaction
necrosis	noun	/nəˈkroʊsɪs/	坏死	death of cells or tissue in a living body
fistula	noun	/ˈfɪstʃələ/	瘘	an abnormal tract between two epithelia or to the skin
cellulitis	noun	/ˌseljəˈlaɪtɪs/	蜂窝织炎	spreading infection of dermis and subcutaneous tissue
melanoma	noun	/ˌmeləˈnoʊmə/	黑色素瘤	a malignant tumor of melanocytes
topical	adjective	/ˈtɑːpɪkəl/	外用的	applied to a body surface
exudate	noun	/ˈeksjudeɪt/	渗出液	protein-rich fluid leaking from inflamed vessels
transudate	noun	/ˈtrænzjudeɪt/	漏出液	low-protein fluid from hydrostatic imbalance
debridement	noun	/dɪˈbriːdmənt/	清创	removal of dead or contaminated tissue from a wound
cornea	noun	/ˈkɔːrniə/	角膜	the clear front window of the eye
retina	noun	/ˈretənə/	视网膜	the light-sensing inner layer of the eye
cochlea	noun	/ˈkoʊkliə/	耳蜗	the spiral inner-ear organ of hearing
otitis	noun	/oʊˈtaɪtɪs/	耳炎	inflammation of the ear
conjunctivitis	noun	/kənˌdʒʌŋktɪˈvaɪtɪs/	结膜炎	inflammation of the conjunctiva
immunity	noun	/ɪˈmjuːnəti/	免疫	the host ability to resist infection and foreign antigens
inflammation	noun	/ˌɪnfləˈmeɪʃn/	炎症	the vascular and cellular response to injury
inflammatory	adjective	/ɪnˈflæmətɔːri/	炎性的	relating to or causing inflammation
vaccine	noun	/vækˈsiːn/	疫苗	a preparation that induces protective immunity
vaccination	noun	/ˌvæksɪˈneɪʃn/	疫苗接种	giving a vaccine to induce immunity
lymphocyte	noun	/ˈlɪmfəsaɪt/	淋巴细胞	the T or B white cell of adaptive immunity
neutrophil	noun	/ˈnuːtrəfɪl/	中性粒细胞	the main phagocyte of acute bacterial infection
macrophage	noun	/ˈmækrəfeɪdʒ/	巨噬细胞	the tissue phagocyte derived from monocytes
anaphylaxis	noun	/ˌænəfəˈlæksɪs/	过敏性休克	a severe, rapid systemic allergic reaction
hypersensitivity	noun	/ˌhaɪpərsensɪˈtɪvəti/	超敏反应	an exaggerated immune response that injures the host
heparin	noun	/ˈhepərɪn/	肝素	an anticoagulant used to prevent clotting
transfusion	noun	/trænsˈfjuːʒən/	输血	administration of blood or a blood component
septic	adjective	/ˈseptɪk/	脓毒的	relating to sepsis or bacterial infection of blood or tissue
virus	noun	/ˈvaɪrəs/	病毒	an obligate intracellular infectious particle
bacterium	noun	/bækˈtɪriəm/	细菌	a prokaryotic microbe, some of which cause disease
chill	noun	/tʃɪl/	寒战	a shaking cold sensation often preceding fever
malaise	noun	/məˈleɪz/	不适	a vague feeling of being unwell
fatigue	noun	/fəˈtiːɡ/	疲劳	tiredness not relieved by ordinary rest
microorganism	noun	/ˌmaɪkroʊˈɔːrɡənɪzəm/	微生物	a microscopic organism such as a bacterium or virus
infectious	adjective	/ɪnˈfekʃəs/	感染性的	caused by or capable of transmitting a pathogen
complication	noun	/ˌkɑːmplɪˈkeɪʃn/	并发症	a secondary problem arising from a disease or treatment
exacerbation	noun	/ɪɡˌzæsərˈbeɪʃn/	加重	an acute worsening of a chronic disease
remission	noun	/rɪˈmɪʃn/	缓解	a period of reduced or absent disease activity
recovery	noun	/rɪˈkʌvəri/	康复	return toward health after illness or injury
hematocrit	noun	/hɪˈmætəkrɪt/	血细胞比容	the percentage of blood volume occupied by red cells
nosocomial	adjective	/ˌnɑːsəˈkoʊmiəl/	医院获得的	acquired in hospital
sterile	adjective	/ˈsterəl/	无菌的	free of living microbes
aseptic	adjective	/eɪˈseptɪk/	无菌操作的	using methods that prevent microbial contamination
fibrosis	noun	/faɪˈbroʊsɪs/	纤维化	replacement of tissue by collagen scar
metaplasia	noun	/ˌmetəˈpleɪʒə/	化生	replacement of one differentiated cell type by another
dysplasia	noun	/dɪsˈpleɪʒə/	发育异常；非典型增生	disordered cell growth that may precede cancer
apoptosis	noun	/ˌæpəpˈtoʊsɪs/	凋亡	programmed cell death without inflammation
congestion	noun	/kənˈdʒestʃən/	充血	excess blood in vessels of a tissue
granuloma	noun	/ˌɡrænjəˈloʊmə/	肉芽肿	a nodular collection of macrophages in chronic inflammation
adhesion	noun	/ədˈhiːʒən/	粘连	fibrous bands joining serosal surfaces after inflammation
calcification	noun	/ˌkælsɪfɪˈkeɪʃn/	钙化	deposition of calcium salts in tissue
suppuration	noun	/ˌsʌpjəˈreɪʃn/	化脓	formation of pus
rupture	noun	/ˈrʌptʃər/	破裂	tearing of an organ, vessel, or viscus
perforation	noun	/ˌpɜːrfəˈreɪʃn/	穿孔	a hole through the wall of a hollow organ
cyst	noun	/sɪst/	囊肿	a closed sac lined by epithelium and filled with fluid
benign	adjective	/bɪˈnaɪn/	良性的	not invading or metastasizing
malignant	adjective	/məˈlɪɡnənt/	恶性的	able to invade and metastasize
tumor	noun	/ˈtuːmər/	肿瘤	a swelling, usually a neoplasm
sarcoma	noun	/sɑːrˈkoʊmə/	肉瘤	a malignant tumor of mesenchymal origin
adenoma	noun	/ˌædəˈnoʊmə/	腺瘤	a benign epithelial tumor of glandular origin
lymphoma	noun	/lɪmˈfoʊmə/	淋巴瘤	a malignancy of lymphoid cells
idiopathic	adjective	/ˌɪdioʊˈpæθɪk/	特发性的	of unknown cause
iatrogenic	adjective	/aɪˌætrəˈdʒenɪk/	医源性的	caused by medical treatment
congenital	adjective	/kənˈdʒenɪtl/	先天性的	present at birth
acquired	adjective	/əˈkwaɪərd/	获得性的	developing after birth
weight loss	phrase	/weɪt lɔːs/	体重下降	unintentional decrease in body weight
night sweats	phrase	/naɪt swets/	盗汗	drenching sweats during sleep
cachexia	noun	/kəˈkeksiə/	恶病质	severe wasting of muscle and fat in chronic disease
clubbing	noun	/ˈklʌbɪŋ/	杵状指	bulbous enlargement of the fingertips in chronic hypoxia
paresthesia	noun	/ˌpærəsˈθiːʒə/	感觉异常	abnormal sensation such as tingling without a stimulus
chest pain	phrase	/tʃest peɪn/	胸痛	pain in the chest, a key presenting complaint
hoarseness	noun	/ˈhɔːrsnəs/	声音嘶哑	a rough or weak voice from laryngeal change
palpable	adjective	/ˈpælpəbəl/	可触及的	able to be felt on physical examination
tender	adjective	/ˈtendər/	压痛的	painful when touched or pressed
bilateral	adjective	/baɪˈlætərəl/	双侧的	affecting both sides
unilateral	adjective	/ˌjuːnɪˈlætərəl/	单侧的	affecting one side only
proximal	adjective	/ˈprɑːksɪməl/	近端的	nearer the trunk or origin of a structure
distal	adjective	/ˈdɪstl/	远端的	farther from the trunk or origin of a structure
anterior	adjective	/ænˈtɪriər/	前的	toward the front of the body
posterior	adjective	/pɑːˈstɪriər/	后的	toward the back of the body
superior	adjective	/səˈpɪriər/	上方的	above, toward the head
inferior	adjective	/ɪnˈfɪriər/	下方的	below, toward the feet
medial	adjective	/ˈmiːdiəl/	内侧的	toward the midline
lateral	adjective	/ˈlætərəl/	外侧的	away from the midline
ventral	adjective	/ˈventrəl/	腹侧的	toward the belly; anterior in humans
dorsal	adjective	/ˈdɔːrsəl/	背侧的	toward the back
superficial	adjective	/ˌsuːpərˈfɪʃəl/	浅表的	near the body surface
deep	adjective	/diːp/	深的	far from the body surface
ipsilateral	adjective	/ˌɪpsəˈlætərəl/	同侧的	on the same side of the body
contralateral	adjective	/ˌkɑːntrəˈlætərəl/	对侧的	on the opposite side of the body
sagittal	adjective	/ˈsædʒɪtl/	矢状的	dividing the body into left and right
coronal	adjective	/kəˈroʊnl/	冠状的	dividing the body into front and back
transverse	adjective	/trænzˈvɜːrs/	横的	dividing the body into upper and lower
empiric	adjective	/ɪmˈpɪrɪk/	经验性的	started from clinical judgment before culture results
prophylactic	adjective	/ˌproʊfəˈlæktɪk/	预防性的	given to prevent disease rather than treat it
palliative	adjective	/ˈpæliətɪv/	姑息的	relieving symptoms without curing the disease
supportive	adjective	/səˈpɔːrtɪv/	支持性的	maintaining vital functions while the disease is treated
refractory	adjective	/rɪˈfræktəri/	难治的	not responding to usual treatment
diffuse	adjective	/dɪˈfjuːs/	弥漫的	spread throughout a region, not sharply localized
focal	adjective	/ˈfoʊkəl/	局灶的	limited to a distinct area
generalized	adjective	/ˈdʒenərəlaɪzd/	全身性的	involving the whole body or many sites
localized	adjective	/ˈloʊkəlaɪzd/	局限性的	confined to one area
systemic	adjective	/sɪˈstemɪk/	全身的	affecting the body as a whole, often via blood
progressive	adjective	/prəˈɡresɪv/	进行性的	worsening over time
recurrent	adjective	/rɪˈkɜːrənt/	反复发作的	returning after a period of improvement
intermittent	adjective	/ˌɪntərˈmɪtənt/	间歇的	coming and going, not continuous
persistent	adjective	/pərˈsɪstənt/	持续的	continuing for a prolonged time
severe	adjective	/səˈvɪr/	严重的	intense or life-threatening in degree
mild	adjective	/maɪld/	轻度的	of slight intensity
moderate	adjective	/ˈmɑːdərət/	中度的	between mild and severe
primary	adjective	/ˈpraɪmeri/	原发性的	arising first, not from another disease
secondary	adjective	/ˈsekənderi/	继发性的	caused by another disease or process
febrile	adjective	/ˈfebrəl/	发热的	having fever
afebrile	adjective	/ˌeɪˈfebrəl/	无热的	without fever
patent	adjective	/ˈpætnt/	通畅的	open, not obstructed
intact	adjective	/ɪnˈtækt/	完整的	not broken or damaged
dilated	adjective	/ˈdaɪleɪtɪd/	扩张的	widened beyond usual caliber
inflamed	adjective	/ɪnˈfleɪmd/	发炎的	showing redness, heat, swelling, or pain
infected	adjective	/ɪnˈfektɪd/	感染的	invaded by a pathogen
elective	adjective	/ɪˈlektɪv/	择期的	planned and not an emergency
emergency	noun	/ɪˈmɜːrdʒənsi/	急诊；紧急情况	a condition needing immediate care
intramuscular	adjective	/ˌɪntrəˈmʌskjələr/	肌内的	into a muscle, a common injection route
preoperative	adjective	/ˌpriːˈɑːpərətɪv/	术前的	before a surgical operation
postoperative	adjective	/ˌpoʊstˈɑːpərətɪv/	术后的	after a surgical operation
outpatient	noun	/ˈaʊtpeɪʃnt/	门诊患者	a patient treated without overnight admission
inpatient	noun	/ˈɪnpeɪʃnt/	住院患者	a patient admitted to hospital overnight
adjuvant	adjective	/ˈædʒəvənt/	辅助的	given after primary treatment to reduce relapse risk
therapeutic	adjective	/ˌθerəˈpjuːtɪk/	治疗的	used to treat disease
diagnostic	adjective	/ˌdaɪəɡˈnɑːstɪk/	诊断的	used to identify a disease
resistant	adjective	/rɪˈzɪstənt/	耐药的；抵抗的	not killed or inhibited by a drug, or able to withstand a pathogen
sensitive	adjective	/ˈsensətɪv/	敏感的	inhibited by a drug, or able to detect a true positive
indicated	adjective	/ˈɪndɪkeɪtɪd/	有指征的	appropriate to use in this situation
contraindicated	adjective	/ˌkɑːntrəˈɪndɪkeɪtɪd/	禁忌的	should not be used because harm outweighs benefit
palpate	verb	/ˈpælpeɪt/	触诊	to examine by feeling with the hands
auscultate	verb	/ˈɔːskəlteɪt/	听诊	to listen to internal sounds, usually with a stethoscope
percuss	verb	/pərˈkʌs/	叩诊	to tap the body surface to assess underlying structures
inspect	verb	/ɪnˈspekt/	视诊	to examine by looking
administer	verb	/ədˈmɪnɪstər/	给予	to give a drug or treatment to a patient
prescribe	verb	/prɪˈskraɪb/	开处方	to authorize a drug or treatment in writing
discontinue	verb	/ˌdɪskənˈtɪnjuː/	停用	to stop a drug or treatment
monitor	verb	/ˈmɑːnɪtər/	监测	to watch a parameter repeatedly over time
confirm	verb	/kənˈfɜːrm/	确诊；证实	to establish a diagnosis or finding as true
exclude	verb	/ɪkˈskluːd/	排除	to show that a diagnosis is unlikely
admit	verb	/ədˈmɪt/	收住院	to accept a patient into hospital
refer	verb	/rɪˈfɜːr/	转诊	to send a patient to another clinician or service
resolve	verb	/rɪˈzɑːlv/	消退；缓解	to clear or return to normal
deteriorate	verb	/dɪˈtɪriəreɪt/	恶化	to become clinically worse
stabilize	verb	/ˈsteɪbəlaɪz/	稳定	to make or become hemodynamically or clinically steady
relieve	verb	/rɪˈliːv/	缓解	to reduce pain or distress
prevent	verb	/prɪˈvent/	预防	to stop a disease or event from occurring
treat	verb	/triːt/	治疗	to give care intended to cure or control disease
radiograph	noun	/ˈreɪdioʊɡræf/	X线片	an X-ray image of a body part
ultrasound	noun	/ˈʌltrəsaʊnd/	超声	imaging that uses high-frequency sound waves
CT	noun	/ˌsiː ˈtiː/	计算机断层扫描	cross-sectional X-ray imaging of the body
MRI	noun	/ˌem ɑːr ˈaɪ/	磁共振成像	imaging that uses magnetic fields and radio waves
contrast	noun	/ˈkɑːntræst/	造影剂	a substance given to make structures stand out on imaging
opacity	noun	/oʊˈpæsəti/	致密影	an area that appears white because X-rays are blocked
X-ray	noun	/ˈeks reɪ/	X线	ionizing radiation used for radiographs, or the image itself
electrocardiogram	noun	/ɪˌlektroʊˈkɑːrdioʊɡræm/	心电图	a recording of the heart's electrical activity
ECG	noun	/ˌiː siː ˈdʒiː/	心电图	the classroom abbreviation for electrocardiogram
echocardiography	noun	/ˌekoʊˌkɑːrdiˈɑːɡrəfi/	超声心动图	ultrasound imaging of the heart
infiltrate	noun	/ˈɪnfɪltreɪt/	浸润影	a poorly defined opacity in lung, often infection or fluid
consolidation	noun	/kənˌsɑːlɪˈdeɪʃn/	实变	airless lung filled with exudate, as in pneumonia
mass	noun	/mæs/	肿块	a space-occupying lesion, often a tumor
lesion	noun	/ˈliːʒən/	病灶	a localized pathologic change in tissue
specimen	noun	/ˈspesɪmən/	标本	tissue or fluid taken for laboratory testing
smear	noun	/smɪr/	涂片	a thin film of cells or fluid on a slide
stain	noun	/steɪn/	染色	a dye used to make cells or microbes visible
troponin	noun	/ˈtroʊpənɪn/	肌钙蛋白	the cardiac marker released after myocardial injury
transaminase	noun	/trænˈsæmɪneɪs/	转氨酶	a liver enzyme that rises with hepatocyte injury
lactate	noun	/ˈlækteɪt/	乳酸	the metabolite that rises in hypoperfusion and some shock
analgesic	noun	/ˌænəlˈdʒiːzɪk/	镇痛药	a drug given to relieve pain
antiinflammatory	noun	/ˌæntiɪnˈflæmətɔːri/	抗炎药	a drug that reduces inflammation
antiviral	noun	/ˌæntiˈvaɪrəl/	抗病毒药	a drug used against viral infection
antifungal	noun	/ˌæntiˈfʌŋɡəl/	抗真菌药	a drug used against fungal infection
antihistamine	noun	/ˌæntiˈhɪstəmiːn/	抗组胺药	a drug that blocks histamine effects
anticoagulant	noun	/ˌæntikoʊˈæɡjələnt/	抗凝药	a drug that reduces clot formation
antiplatelet	noun	/ˌæntiˈpleɪtlət/	抗血小板药	a drug that inhibits platelet aggregation
thrombolytic	noun	/ˌθrɑːmboʊˈlɪtɪk/	溶栓药	a drug that dissolves an existing thrombus
steroid	noun	/ˈstɪrɔɪd/	类固醇	a corticosteroid or related antiinflammatory hormone analog
corticosteroid	noun	/ˌkɔːrtɪkoʊˈstɪrɔɪd/	糖皮质激素	an adrenal-type steroid used to suppress inflammation
opioid	noun	/ˈoʊpioɪd/	阿片类药物	a narcotic analgesic acting on opioid receptors
sedative	noun	/ˈsedətɪv/	镇静药	a drug that calms or reduces agitation
anesthetic	noun	/ˌænəsˈθetɪk/	麻醉药	a drug that produces loss of sensation or consciousness
chemotherapy	noun	/ˌkiːmoʊˈθerəpi/	化疗	drug treatment aimed at killing cancer or microbes
radiotherapy	noun	/ˌreɪdioʊˈθerəpi/	放疗	treatment of disease with ionizing radiation
physiotherapy	noun	/ˌfɪzioʊˈθerəpi/	物理治疗	physical methods used to restore movement and function
rehabilitation	noun	/ˌriːəˌbɪlɪˈteɪʃn/	康复	restoration of function after illness or injury
hydration	noun	/haɪˈdreɪʃn/	补液；水化	provision of water or intravenous fluid
oxygen therapy	phrase	/ˈɑːksɪdʒən ˈθerəpi/	氧疗	supplemental oxygen given to raise blood oxygen
mechanical ventilation	phrase	/məˈkænɪkəl ˌventɪˈleɪʃn/	机械通气	machine support of breathing through an artificial airway
rule out	phrasal verb	/ruːl aʊt/	排除	to exclude a diagnosis after enough evaluation
follow up	phrasal verb	/ˈfɑːloʊ ʌp/	随访	to reassess a patient after initial care
work up	phrasal verb	/wɜːrk ʌp/	检查评估	to investigate a problem with history, exam, and tests
flare up	phrasal verb	/fler ʌp/	突然加重	for a chronic disease to worsen suddenly
orally	adverb	/ˈɔːrəli/	口服地	by mouth
intravenously	adverb	/ˌɪntrəˈviːnəsli/	静脉内地	into a vein
subcutaneously	adverb	/ˌsʌbkjuˈteɪniəsli/	皮下地	under the skin
intramuscularly	adverb	/ˌɪntrəˈmʌskjələrli/	肌内地	into a muscle
vasculitis	noun	/ˌvæskjəˈlaɪtɪs/	血管炎	inflammation of blood vessels
lymphadenitis	noun	/lɪmˌfædəˈnaɪtɪs/	淋巴结炎	inflammation of lymph nodes
mitochondrion	noun	/ˌmaɪtəˈkɑːndriən/	线粒体	the organelle that makes most of the cell ATP
ligand	noun	/ˈlɪɡənd/	配体	a molecule that binds a receptor
serosa	noun	/sɪˈroʊsə/	浆膜	the smooth outer covering of viscera in a body cavity
septum	noun	/ˈseptəm/	隔	a wall dividing two cavities or chambers
follicle	noun	/ˈfɑːlɪkəl/	滤泡；毛囊	a small sac such as a hair follicle or ovarian follicle
cortex	noun	/ˈkɔːrteks/	皮质	the outer layer of an organ such as kidney or adrenal
medulla	noun	/məˈdʌlə/	髓质	the inner core of an organ such as kidney or adrenal
dendrite	noun	/ˈdendraɪt/	树突	the branching process that receives synaptic input
fibroblast	noun	/ˈfaɪbroʊblæst/	成纤维细胞	the cell that makes collagen and extracellular matrix
stem cell	phrase	/stem sel/	干细胞	an unspecialized cell that can renew and differentiate
interstitial	adjective	/ˌɪntərˈstɪʃəl/	间质的	in the spaces between cells or tissues
extracellular	adjective	/ˌekstrəˈseljələr/	细胞外的	outside the cell
intracellular	adjective	/ˌɪntrəˈseljələr/	细胞内的	inside the cell
organelle	noun	/ˌɔːrɡəˈnel/	细胞器	a membrane-bound working unit inside a cell
ribosome	noun	/ˈraɪbəsoʊm/	核糖体	the organelle that translates mRNA into protein
lysosome	noun	/ˈlaɪsəsoʊm/	溶酶体	the digestive organelle of the cell
mitosis	noun	/maɪˈtoʊsɪs/	有丝分裂	cell division that yields two identical diploid cells
meiosis	noun	/maɪˈoʊsɪs/	减数分裂	germ-cell division that yields haploid gametes
differentiation	noun	/ˌdɪfəˌrenʃiˈeɪʃn/	分化	the process by which a cell takes on a specialized role
matrix	noun	/ˈmeɪtrɪks/	基质	the extracellular material in which cells are embedded
basement membrane	phrase	/ˈbeɪsmənt ˈmembren/	基底膜	the thin sheet anchoring epithelium to connective tissue
adipose	adjective	/ˈædəpoʊs/	脂肪的	relating to fat tissue
visceral	adjective	/ˈvɪsərəl/	内脏的	relating to internal organs
parietal	adjective	/pəˈraɪətl/	壁层的	relating to the wall of a cavity
somatic	adjective	/soʊˈmætɪk/	躯体的	relating to the body wall, not the viscera
catabolism	noun	/kəˈtæbəlɪzəm/	分解代谢	breakdown of molecules to release energy
anabolism	noun	/əˈnæbəlɪzəm/	合成代谢	building of complex molecules from simpler ones
active transport	phrase	/ˈæktɪv ˈtrænspɔːrt/	主动转运	energy-using movement of a solute against its gradient
permeability	noun	/ˌpɜːrmiəˈbɪləti/	通透性	how easily a substance crosses a membrane
ion	noun	/ˈaɪən/	离子	an atom or molecule with a net electric charge
buffer	noun	/ˈbʌfər/	缓冲液	a system that resists change in pH
acid	noun	/ˈæsɪd/	酸	a proton donor that lowers pH
base	noun	/beɪs/	碱	a proton acceptor that raises pH
ATP	noun	/ˌeɪ tiː ˈpiː/	三磷酸腺苷	the main short-term energy currency of the cell
amino acid	phrase	/əˈmiːnoʊ ˈæsɪd/	氨基酸	the building block of proteins
lipid	noun	/ˈlɪpɪd/	脂质	a fat-soluble molecule such as triglyceride or cholesterol
carbohydrate	noun	/ˌkɑːrboʊˈhaɪdreɪt/	碳水化合物	a sugar or starch used for energy and structure
glycogen	noun	/ˈɡlaɪkədʒən/	糖原	the storage polysaccharide of liver and muscle
triglyceride	noun	/traɪˈɡlɪsəraɪd/	甘油三酯	the main storage form of fat in adipose tissue
lobe	noun	/loʊb/	叶	a large division of an organ such as lung or liver
segment	noun	/ˈseɡmənt/	段	a smaller functional division of an organ
fiber	noun	/ˈfaɪbər/	纤维	a thread-like structure of nerve, muscle, or connective tissue
viscera	noun	/ˈvɪsərə/	内脏	the internal organs of the body cavities
systole	noun	/ˈsɪstəli/	收缩期	the contraction phase of the cardiac cycle
diastole	noun	/daɪˈæstəli/	舒张期	the filling phase of the cardiac cycle
systolic	adjective	/sɪˈstɑːlɪk/	收缩期的	occurring during ventricular contraction
diastolic	adjective	/ˌdaɪəˈstɑːlɪk/	舒张期的	occurring during ventricular filling
heartbeat	noun	/ˈhɑːrtbiːt/	心搏	one complete contraction of the heart
fibrin	noun	/ˈfaɪbrɪn/	纤维蛋白	the mesh protein that stabilizes a clot
clot	noun	/klɑːt/	血凝块	a mass of coagulated blood
plaque	noun	/plæk/	斑块	an atherosclerotic deposit in an arterial wall
stenosis	noun	/stəˈnoʊsɪs/	狭窄	abnormal narrowing of a vessel, valve, or lumen
occlusion	noun	/əˈkluːʒən/	闭塞	complete blockage of a vessel or hollow organ
perfusion	noun	/pərˈfjuːʒən/	灌注	blood flow through the tissue capillary bed
vasoconstriction	noun	/ˌveɪzoʊkənˈstrɪkʃn/	血管收缩	narrowing of a vessel by smooth-muscle contraction
vasodilation	noun	/ˌveɪzoʊdaɪˈleɪʃn/	血管舒张	widening of a vessel by smooth-muscle relaxation
aneurysm	noun	/ˈænjərɪzəm/	动脉瘤	a localized dilation of an arterial wall
phlebitis	noun	/fləˈbaɪtɪs/	静脉炎	inflammation of a vein
thrombus	noun	/ˈθrɑːmbəs/	血栓	a clot formed in situ inside a vessel or heart
embolus	noun	/ˈembələs/	栓子	intravascular material that travels and lodges downstream
