lemma	pos	ipa	zh	meaning_en
zygote	noun	/ˈzaɪɡoʊt/	受精卵	the cell formed by fusion of sperm and ovum
quadruplet	noun	/ˈkwɑːdrəplət/	四胞胎之一	one of four siblings from the same pregnancy
oviduct	noun	/ˈoʊvɪdʌkt/	输卵管	the tube that carries the ovum; fallopian tube
dissimilar	adjective	/dɪˈsɪmələr/	不相同的	not alike
endometrium	noun	/ˌendəʊˈmiːtriəm/	子宫内膜	the inner lining of the uterus
abort	verb	/əˈbɔːrt/	流产；中止妊娠	to end a pregnancy before viability
vagina	noun	/vəˈdʒaɪnə/	阴道	the canal from the uterus to the outside
chorionic sac	phrase	/ˌkɔːriˈɑːnɪk sæk/	绒毛膜囊	the early extra-embryonic sac formed by chorion
cervix	noun	/ˈsɜːrvɪks/	宫颈	the lower neck of the uterus
chorion	noun	/ˈkɔːriən/	绒毛膜	the outer fetal membrane that contributes to the placenta
fallopian tubes	phrase	/fəˈloʊpiən tuːbz/	输卵管	the tubes from ovary to uterus
gonadotropin	noun	/ˌɡoʊnædəˈtroʊpɪn/	促性腺激素	a hormone that stimulates the gonads
fertilization	noun	/ˌfɜːrtələˈzeɪʃn/	受精	union of sperm and ovum
corpus luteum	phrase	/ˈkɔːrpəs ˈluːtiəm/	黄体	the post-ovulatory follicle that secretes progesterone
pregnancy tests	phrase	/ˈpreɡnənsi tests/	妊娠试验	tests that detect hCG to confirm pregnancy
amniotic sac	phrase	/ˌæmniˈɑːtɪk sæk/	羊膜囊	the fluid-filled sac around the fetus
umbilical cord	phrase	/ʌmˈbɪlɪkl kɔːrd/	脐带	the cord linking fetus and placenta
amniorrhea	noun	/ˌæmnioʊˈriːə/	羊水流出	leakage of amniotic fluid
amnion	noun	/ˈæmniən/	羊膜	the inner fetal membrane around the amniotic fluid
trimester	noun	/traɪˈmestər/	孕期（三个月）	one of the three three-month spans of pregnancy
menstrual	adjective	/ˈmenstruəl/	月经的	relating to menstruation
parturition	noun	/ˌpɑːrtjʊˈrɪʃn/	分娩	the process of giving birth
birth canal	phrase	/bɜːrθ kəˈnæl/	产道	the passage the fetus travels during birth
dystocia	noun	/dɪsˈtoʊʃə/	难产	difficult labor
gravida	noun	/ˈɡrævɪdə/	孕妇	a woman who is or has been pregnant
cesarean birth	phrase	/sɪˈzeriən bɜːrθ/	剖宫产	delivery of the fetus through an abdominal incision
primigravida	noun	/ˌpraɪmɪˈɡrævɪdə/	初孕妇	a woman pregnant for the first time
oxytocin	noun	/ˌɑːksɪˈtoʊsɪn/	缩宫素	a hormone that contracts the uterus and ejects milk
para	noun	/ˈpærə/	产次	the number of pregnancies that reached viability
prostaglandin	noun	/ˌprɑːstəˈɡlændɪn/	前列腺素	a lipid mediator that can ripen the cervix and cause contraction
inheritable	adjective	/ɪnˈherɪtəbl/	可遗传的	able to be passed from parent to offspring
offspring	noun	/ˈɔːfsprɪŋ/	子代	children or descendants
dominant	adjective	/ˈdɑːmɪnənt/	显性的	expressed even when only one allele is present
triplet	noun	/ˈtrɪplət/	三胞胎之一	one of three siblings from the same pregnancy
recessive	adjective	/rɪˈsesɪv/	隐性的	expressed only when both alleles are the variant
cell division	phrase	/sel dɪˈvɪʒn/	细胞分裂	the process of one cell becoming two
rearrangement	noun	/ˌriːəˈreɪndʒmənt/	重排	a structural change in chromosome order
identical	adjective	/aɪˈdentɪkl/	同卵的；相同的	the same, as in identical twins from one zygote
fragment	noun	/ˈfræɡmənt/	片段	a broken piece of a chromosome or molecule
preeclampsia	noun	/ˌpriːɪˈklæmpsiə/	子痫前期	pregnancy hypertension with organ injury, often proteinuria
cleft palate	phrase	/kleft ˈpælət/	腭裂	a congenital gap in the palate
diabetes mellitus	phrase	/ˌdaɪəˈbiːtiːz məˈlaɪtəs/	糖尿病	a disorder of high blood glucose from insulin lack or resistance
toxemia	noun	/tɑːkˈsiːmiə/	毒血症	an older name for preeclampsia-related pregnancy toxicity
amniocentesis	noun	/ˌæmnioʊsenˈtiːsɪs/	羊膜穿刺	sampling amniotic fluid, usually for fetal testing
proteinuria	noun	/ˌproʊtiˈnjʊriə/	蛋白尿	protein in the urine
ectopic	adjective	/ekˈtɑːpɪk/	异位的	located outside the normal site, as in ectopic pregnancy
karyotype	noun	/ˈkærioʊtaɪp/	核型	the chromosome set of a cell arranged for study
salpingitis	noun	/ˌsælpɪnˈdʒaɪtɪs/	输卵管炎	inflammation of a fallopian tube
chorionic villus	phrase	/ˌkɔːriˈɑːnɪk ˈvɪləs/	绒毛	a placental projection used in some prenatal tests
endometriosis	noun	/ˌendəʊˌmiːtriˈoʊsɪs/	子宫内膜异位症	endometrial-like tissue growing outside the uterus
transmit	verb	/trænzˈmɪt/	传播；传递	to pass a trait or infection from one individual to another
mendelian fashion	phrase	/menˈdiːliən ˈfæʃn/	孟德尔方式	inheritance following Mendel's single-gene rules
laparoscopic	adjective	/ˌlæpərəˈskɑːpɪk/	腹腔镜的	done through a laparoscope
miscarriage	noun	/ˈmɪskærɪdʒ/	自然流产	spontaneous loss of a pregnancy before viability
immunogenetics	noun	/ˌɪmjənoʊdʒəˈnetɪks/	免疫遗传学	the genetics of immune-system variation
incompetence	noun	/ɪnˈkɑːmpɪtəns/	关闭不全；功能不全	failure of a valve or cervix to close properly
induced abortion	phrase	/ɪnˈduːst əˈbɔːrʃn/	人工流产	intentional ending of a pregnancy
incur	verb	/ɪnˈkɜːr/	招致	to bring a risk or complication upon oneself
suction	noun	/ˈsʌkʃn/	吸引	removal of fluid or tissue by vacuum
mutagen	noun	/ˈmjuːtədʒən/	诱变剂	an agent that causes mutation
birth defect	phrase	/bɜːrθ ˈdiːfekt/	出生缺陷	a structural or functional abnormality present at birth
mutagenic	adjective	/ˌmjuːtəˈdʒenɪk/	诱变的	able to cause mutation
teratogen	noun	/ˈterətədʒən/	致畸物	an agent that causes fetal malformation
carcinogen	noun	/kɑːrˈsɪnədʒən/	致癌物	an agent that can cause cancer
malformation	noun	/ˌmælfɔːrˈmeɪʃn/	畸形	an abnormal anatomic shape present from development
albinism	noun	/ˈælbɪnɪzəm/	白化病	a genetic lack of normal pigment
rubella	noun	/ruːˈbelə/	风疹	German measles, a viral rash illness dangerous in early pregnancy
pigmentation	noun	/ˌpɪɡmənˈteɪʃn/	色素沉着	the coloring of skin or other tissue
homozygote	noun	/ˌhoʊmoʊˈzaɪɡoʊt/	纯合子	an individual with two identical alleles of a gene
measles	noun	/ˈmiːzlz/	麻疹	a highly contagious viral rash illness
progeny	noun	/ˈprɑːdʒəni/	后代	offspring
herpes simplex	phrase	/ˈhɜːrpiːz ˈsɪmpleks/	单纯疱疹	a viral infection causing vesicular sores
schizophrenia	noun	/ˌskɪtsəˈfriːniə/	精神分裂症	a severe psychiatric disorder of thought and perception
syphilis	noun	/ˈsɪfəlɪs/	梅毒	a sexually transmitted spirochetal infection
counselor	noun	/ˈkaʊnsələr/	咨询者	a person who gives genetic or clinical advice
atresia	noun	/əˈtriːʒə/	闭锁	congenital absence or closure of an opening
mutant	noun	/ˈmjuːtnt/	突变体	an organism or gene carrying a mutation
anencephalus	noun	/ˌænənˈsefələs/	无脑畸形	a fetus lacking major parts of the brain and skull
prenatal	adjective	/ˌpriːˈneɪtl/	产前的	before birth
spina bifida	phrase	/ˈspaɪnə ˈbɪfɪdə/	脊柱裂	a neural-tube defect with incomplete vertebral closure
lethal	adjective	/ˈliːθl/	致死的	able to cause death
cleft lip	phrase	/kleft lɪp/	唇裂	a congenital gap in the upper lip
euphenics	noun	/juːˈfenɪks/	表型矫正	improving the expressed phenotype without changing the genotype
euphenic	adjective	/juːˈfenɪk/	表型矫正的	relating to treatment that improves phenotype
reproduction	noun	/ˌriːprəˈdʌkʃn/	生殖	the process of producing offspring
dwarf	noun	/dwɔːrf/	侏儒	a person with marked short stature
nutrien	noun	/ˈnuːtriənt/	营养素	a classroom spelling of nutrient, a food substance the body uses
target tissue	phrase	/ˈtɑːrɡɪt ˈtɪʃuː/	靶组织	the tissue on which a hormone acts
glandular	adjective	/ˈɡlændʒələr/	腺的	relating to a gland
hormonal	adjective	/hɔːrˈmoʊnl/	激素的	relating to hormones
norepinephrine	noun	/ˌnɔːrepɪˈnefrɪn/	去甲肾上腺素	a catecholamine neurotransmitter and vasopressor
proteinlike compound	phrase	/ˈproʊtiːnlaɪk ˈkɑːmpaʊnd/	蛋白质样化合物	a peptide or protein-like messenger
gonad	noun	/ˈɡoʊnæd/	性腺	an ovary or testis
exocrine	adjective	/ˈeksəkrɪn/	外分泌的	secreting through a duct to a surface
islets of langerhans	phrase	/ˈaɪləts əv ˈlæŋərhɑːns/	胰岛	the endocrine cell clusters of the pancreas
ovarian	adjective	/oʊˈveriən/	卵巢的	relating to the ovary
estradiol	noun	/ˌestrəˈdaɪɔːl/	雌二醇	the main ovarian estrogen
renin	noun	/ˈriːnɪn/	肾素	a kidney enzyme that starts the angiotensin cascade
phosphorus	noun	/ˈfɑːsfərəs/	磷	an essential mineral in bone and energy metabolism
malatonin	noun	/ˌmeləˈtoʊnɪn/	褪黑素	a pineal sleep hormone (textbook spelling of melatonin)
puberty	noun	/ˈpjuːbərti/	青春期	the period of becoming sexually mature
circadian rhythms	phrase	/sərˈkeɪdiən ˈrɪðəmz/	昼夜节律	about-24-hour biologic cycles
parathyroid hormone	phrase	/ˌpærəˈθaɪrɔɪd ˈhɔːrmoʊn/	甲状旁腺激素	the hormone that raises blood calcium
pineal	adjective	/ˈpɪniəl/	松果体的	relating to the pineal gland
calcitonin	noun	/ˌkælsɪˈtoʊnɪn/	降钙素	a thyroid hormone that lowers blood calcium
sphenoid	noun	/ˈsfiːnɔɪd/	蝶骨	the bone at the base of the skull housing the pituitary fossa
anterior lobe	phrase	/ænˈtɪriər loʊb/	前叶	the front lobe of the pituitary; adenohypophysis
primary aldosteronism	phrase	/ˈpraɪmeri ælˈdɑːstərənɪzəm/	原发性醛固酮增多症	excess aldosterone from the adrenal itself
adenohypophysis	noun	/ˌædənəʊhaɪˈpɑːfəsɪs/	腺垂体	the anterior pituitary
posterior lobe	phrase	/pɑːˈstɪriər loʊb/	后叶	the back lobe of the pituitary; neurohypophysis
pheochromocytoma	noun	/ˌfiːoʊˌkroʊməsaɪˈtoʊmə/	嗜铬细胞瘤	a catecholamine-secreting adrenal medullary tumor
neurohypophysis	noun	/ˌnʊroʊhaɪˈpɑːfəsɪs/	神经垂体	the posterior pituitary
gigantism	noun	/dʒaɪˈɡæntɪzəm/	巨人症	excess growth hormone before epiphyseal closure
acromegaly	noun	/ˌækroʊˈmeɡəli/	肢端肥大症	excess growth hormone after epiphyseal closure
mammary	adjective	/ˈmæməri/	乳房的	relating to the breast
diabetes insipidus	phrase	/ˌdaɪəˈbiːtiːz ɪnˈsɪpɪdəs/	尿崩症	large volumes of dilute urine from ADH lack or resistance
antidiuretic	adjective	/ˌæntidaɪjʊˈretɪk/	抗利尿的	reducing urine volume, as ADH does
uterine	adjective	/ˈjuːtəraɪn/	子宫的	relating to the uterus
isthmus	noun	/ˈɪsməs/	峡	a narrow connection, such as the thyroid isthmus
hyperparathyroidism	noun	/ˌhaɪpərˌpærəˈθaɪrɔɪdɪzəm/	甲状旁腺功能亢进	excess parathyroid hormone with high calcium
hypoparathyroidism	noun	/ˌhaɪpoʊˌpærəˈθaɪrɔɪdɪzəm/	甲状旁腺功能减退	too little parathyroid hormone with low calcium
triiodothyronine	noun	/traɪˌaɪədoʊˈθaɪrəniːn/	三碘甲腺原氨酸	T3, the more active thyroid hormone
medullar	adjective	/məˈdʌlər/	髓质的	relating to a medulla (textbook form of medullary)
glucocorticoid	noun	/ˌɡluːkoʊˈkɔːrtɪkɔɪd/	糖皮质激素	an adrenal steroid that raises glucose and suppresses inflammation
endemic goiter	phrase	/enˈdemɪk ˈɡɔɪtər/	地方性甲状腺肿	goiter common in an iodine-deficient region
mineralocorticoid	noun	/ˌmɪnərələʊˈkɔːrtɪkɔɪd/	盐皮质激素	an adrenal steroid that retains sodium, such as aldosterone
nodular goiter	phrase	/ˈnɑːdʒələr ˈɡɔɪtər/	结节性甲状腺肿	an enlarged thyroid containing nodules
bruit	noun	/bruːi/	杂音	an abnormal vascular sound heard with a stethoscope
myxedema	noun	/ˌmɪksəˈdiːmə/	黏液性水肿	severe hypothyroidism with doughy swelling
ptosis	noun	/ˈtoʊsɪs/	下垂	drooping of an organ or eyelid
diencephalon	noun	/ˌdaɪenˈsefəlɑːn/	间脑	the brain region including thalamus and hypothalamus
pons	noun	/pɑːnz/	脑桥	the brainstem bulge between midbrain and medulla
neurology	noun	/nʊˈrɑːlədʒi/	神经病学	the study of the nervous system and its diseases
acetylcholine	noun	/əˌsiːtlˈkoʊliːn/	乙酰胆碱	a neurotransmitter at neuromuscular and many autonomic synapses
brain stem	phrase	/breɪn stem/	脑干	midbrain, pons, and medulla connecting brain and cord
efferent	adjective	/ˈefərənt/	传出的	carrying impulses away from a center
medulla oblongata	phrase	/məˈdʌlə ˌɑːblɔːŋˈɡɑːtə/	延髓	the lowest brainstem, continuous with the spinal cord
afferent	adjective	/ˈæfərənt/	传入的	carrying impulses toward a center
meninx	noun	/ˈmiːnɪŋks/	脑膜	one of the meninges covering brain or cord
cauda equina	phrase	/ˈkɔːdə ɪˈkwaɪnə/	马尾	the bundle of lumbar and sacral roots below the cord
dura	noun	/ˈdʊrə/	硬膜	the tough outer meninx; dura mater
mater	noun	/ˈmeɪtər/	膜（脑脊膜）	mater in dura/pia/arachnoid mater, a meningeal layer
arachnoid	noun	/əˈræknɔɪd/	蛛网膜	the middle meningeal layer
ganglion	noun	/ˈɡæŋɡliən/	神经节	a cluster of nerve-cell bodies outside the CNS
pia mater	phrase	/ˈpiːə ˈmeɪtər/	软膜	the delicate inner meninx on the brain and cord surface
plexus	noun	/ˈpleksəs/	丛	a network of nerves or vessels
lumbar puncture	phrase	/ˈlʌmbər ˈpʌŋktʃər/	腰椎穿刺	needle sampling of CSF in the lumbar sac
electrical charge	phrase	/ɪˈlektrɪkl tʃɑːrdʒ/	电荷	the charged state that underlies nerve action potentials
myelin	noun	/ˈmaɪəlɪn/	髓鞘质	the insulating sheath around many axons
neurilemma	noun	/ˌnʊrɪˈlemə/	神经膜	the Schwann-cell sheath around a peripheral axon
white matter	phrase	/waɪt ˈmætər/	白质	CNS tissue rich in myelinated axons
gray matter	phrase	/ɡreɪ ˈmætər/	灰质	CNS tissue rich in cell bodies
neurotransmitter	noun	/ˌnʊroʊˈtrænzmɪtər/	神经递质	a chemical signal released at a synapse
neuroglia	noun	/nʊˈroʊɡliə/	神经胶质	the supporting cells of the nervous system
astrocyte	noun	/ˈæstroʊsaɪt/	星形胶质细胞	a star-shaped glial cell of the CNS
glioma	noun	/ɡliˈoʊmə/	胶质瘤	a tumor of glial cells
microglia	noun	/maɪˈkroʊɡliə/	小胶质细胞	the resident immune cells of the CNS
oligodendroglia	noun	/ˌɑːlɪɡoʊdenˈdrɑːɡliə/	少突胶质细胞	CNS cells that form myelin
convolution	noun	/ˌkɑːnvəˈluːʃn/	脑回	a gyrus; a fold of the cerebral cortex
peripheral nervous system	phrase	/pəˈrɪfərəl ˈnɜːrvəs ˈsɪstəm/	周围神经系统	nerves and ganglia outside the brain and cord
autonomic nervous system	phrase	/ˌɔːtəˈnɑːmɪk ˈnɜːrvəs ˈsɪstəm/	自主神经系统	the involuntary visceral motor system
visceral nervous system	phrase	/ˈvɪsərəl ˈnɜːrvəs ˈsɪstəm/	内脏神经系统	the nerves supplying internal organs
groove	noun	/ɡruːv/	沟	a shallow furrow on a bone or organ surface
fissure	noun	/ˈfɪʃər/	裂	a deeper cleft, as between cerebral hemispheres
sulcus	noun	/ˈsʌlkəs/	沟	a groove between gyri of the cortex
thalamus	noun	/ˈθæləməs/	丘脑	the diencephalic relay for sensory pathways to cortex
